security_id,metric_type,metric_value,source_vendor,effective_date,end_date
25523,shares_outstanding,15037874000,refinitive,2025-01-02,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-03,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-06,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-07,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-08,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-10,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-13,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-14,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-15,NULL
25523,shares_outstanding,15037874000,refinitive,2025-01-16,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-17,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-21,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-22,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-23,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-24,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-27,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-28,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-29,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-30,NULL
25523,shares_outstanding,15022073000,refinitive,2025-01-31,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-03,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-04,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-05,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-06,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-07,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-10,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-11,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-12,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-13,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-14,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-18,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-19,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-20,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-21,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-24,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-25,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-26,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-27,NULL
25523,shares_outstanding,15022073000,refinitive,2025-02-28,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-03,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-04,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-05,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-06,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-07,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-10,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-11,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-12,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-13,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-14,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-17,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-18,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-19,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-20,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-21,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-24,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-25,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-26,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-27,NULL
25523,shares_outstanding,15022073000,refinitive,2025-03-28,NULL
25523,shares_outstanding,14939315000,refinitive,2025-03-31,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-01,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-02,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-03,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-04,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-07,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-08,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-09,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-10,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-11,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-14,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-15,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-16,NULL
25523,shares_outstanding,14939315000,refinitive,2025-04-17,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-21,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-22,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-23,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-24,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-25,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-28,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-29,NULL
25523,shares_outstanding,14935826000,refinitive,2025-04-30,NULL
25523,shares_outstanding,14935826000,refinitive,2025-05-01,NULL
25523,shares_outstanding,14935826000,refinitive,2025-05-02,NULL
25523,shares_outstanding,14935826000,refinitive,2025-05-05,NULL
